,金額,日付,メモ,カテゴリー名
23,-313,2019/05/31,スタバ,食費
24,-168,2019/05/31,お菓子,食費
25,-1500,2019/05/31,Kaggle,自己投資資金
26,-388,2019/05/31,スタバ,食費
27,-811,2019/05/30,ファミマ,食費
28,-542,2019/05/30,水、牛乳、納豆、豆腐,食費
29,-313,2019/05/30,スタバ,食費
30,-550,2019/05/29,ラッズ,食費
31,-600,2019/05/29,コロナ,自己投資資金
32,-431,2019/05/29,はなまるうどん,食費
33,-45000,2019/05/29,タオル、洗剤(ふるさと納税),日用品
34,-2052,2019/05/28,キャッシュフロー・クワドラント,自己投資資金
35,-598,2019/05/28,傘,日用品
36,-100000,2019/05/28,,投資資金
37,-2589,2019/05/28,,食費
38,-510,2019/05/28,ガスト(南蛮2枚),食費
39,-2559,2019/05/28,ケーブル,通信費
40,-314,2019/05/28,ミント,食費
41,-535,2019/05/27,納豆、焼きそば、グミ,食費
42,-4000,2019/05/26,,食費
43,-2135,2019/05/26,ユニクロ,衣服
44,-3000,2019/05/26,,食費
45,-1500,2019/05/25,ショット,食費
46,-504,2019/05/25,ファミマ、サンドイッチとウコン,食費
47,4545,2019/05/25,BOOKOFF,その他
48,-5905,2019/05/25,ユニクロ,衣服
49,-3456,2019/05/25,安全なweb,自己投資資金
50,-702,2019/05/25,黄金の羽の作り方,自己投資資金
51,-4000,2019/05/24,,食費
52,-2000,2019/05/23,,チャージ(交通費)
53,-6330,2019/05/21,,食費
54,-7508,2019/05/21,,食費
55,-205,2019/05/21,,食費
56,-23260,2019/05/21,,チャージ(交通費)
57,-2000,2019/05/21,,チャージ(交通費)
58,-1000,2019/05/20,,チャージ(交通費)
59,-2600,2019/05/19,いせや、安藤,交際費
60,-200,2019/05/19,住民票,契約
61,-1000,2019/05/19,,チャージ(交通費)
62,-3000,2019/05/18,,食費
63,-313,2019/05/18,スターバックス,食費
64,-1000,2019/05/17,チャージ,チャージ(交通費)
65,-154,2019/05/17,渋谷→五反田,チャージ(交通費)
66,-195,2019/05/17,吉祥寺→渋谷,チャージ(交通費)
67,-2000,2019/05/17,西荻のお店: 長野さん、えいじ,交際費
68,-3000,2019/05/16,戒: 長野さん、えいじ,交際費
69,-195,2019/05/16,吉祥寺→渋谷,チャージ(交通費)
70,-100,2019/05/15,駐輪代,チャージ(交通費)
71,-195,2019/05/15,吉祥寺→渋谷,チャージ(交通費)
72,-1114,2019/05/15,糖分,食費
73,-137,2019/05/14,ガルボ,食費
74,-100,2019/05/13,自転車,チャージ(交通費)
75,-195,2019/05/13,吉祥寺→渋谷,チャージ(交通費)
76,-195,2019/05/12,渋谷→吉祥寺,チャージ(交通費)
77,-133,2019/05/12,恵比寿→渋谷,チャージ(交通費)
78,-2000,2019/05/12,お昼,食費
79,-133,2019/05/12,渋谷→恵比寿,チャージ(交通費)
80,-195,2019/05/12,吉祥寺→渋谷,チャージ(交通費)
81,-195,2019/05/11,渋谷→吉祥寺,チャージ(交通費)
82,-399,2019/05/11,スタバ(スチームミルクトール),食費
83,-313,2019/05/11,スタバ,食費
84,-195,2019/05/11,吉祥寺→渋谷,チャージ(交通費)
85,-100,2019/05/10,自転車,チャージ(交通費)
86,-195,2019/05/10,渋谷→吉祥寺,チャージ(交通費)
87,-195,2019/05/10,吉祥寺→渋谷,チャージ(交通費)
88,-100,2019/05/09,チャリ,チャージ(交通費)
89,-195,2019/05/09,渋谷→吉祥寺,チャージ(交通費)
90,-195,2019/05/09,吉祥寺→渋谷,チャージ(交通費)
91,-195,2019/05/08,渋谷→吉祥寺,チャージ(交通費)
92,-195,2019/05/08,吉祥寺→渋谷,チャージ(交通費)
93,-195,2019/05/07,渋谷→吉祥寺,チャージ(交通費)
94,-100,2019/05/07,自転車,チャージ(交通費)
95,-195,2019/05/07,吉祥寺から渋谷,チャージ(交通費)
96,-1400,2019/05/04,銀だこ,交際費
97,-1390,2019/05/04,銀だこ,交際費
98,-388,2019/05/04,吉祥寺→上野,チャージ(交通費)
99,-2300,2019/05/03,,交際費
100,-356,2019/05/03,ホットミルク,食費
101,-190,2019/05/03,吉祥寺→渋谷,チャージ(交通費)
102,-8661,2019/05/03,スマホ修復,日用品
103,-388,2019/05/03,東京→吉祥寺,チャージ(交通費)
104,-500,2019/05/02,飲み会,交際費
105,-427,2019/05/02,ビールとウコン,交際費
106,-120,2019/05/02,大阪→野田,チャージ(交通費)
107,-313,2019/05/02,スターバックスコーヒー,食費
108,-490,2019/05/02,朝ごはん,食費
109,-717,2019/05/01,,チャージ(交通費)
110,-185,2019/05/01,,チャージ(交通費)
111,-1400,2019/05/01,肉フェス、tony,交際費
112,-380,2019/05/01,吉野家,食費
113,-3540,2019/05/01,江戸温泉,趣味
114,-717,2019/05/01,三鷹→国際展示場,チャージ(交通費)
115,-216,2019/05/01,北裏→三鷹,チャージ(交通費)
